ID_TRACK;DNI1;DNI2;PERI_MES;CODI_SERVI;NOMB_SERVI;CODI_SENTI;IMEI;PPU;HORA_CHL;HORA_UTC;GRADOS;LATITUD;LONGITUD;VELOCIDAD;HDOP;EX1;EX2;EX3;INVALIDA;EX4
CGJX40-03/06/2021 20:21:03-0;96711420;77130027;202106;377;104N;1;868683027982887;CGJX40;03/06/2021 20:21:03;04/06/2021 00:21:03;17;-23,735008;-70,440355;50;1;0;0;0;0;0
CGJX40-03/06/2021 20:21:23-0;96711420;77130027;202106;377;104N;1;868683027982887;CGJX40;03/06/2021 20:21:23;04/06/2021 00:21:23;20;-23,7327;-70,438842;53;1;0;0;0;0;0
CGJX40-03/06/2021 20:21:43-0;96711420;77130027;202106;377;104N;1;868683027982887;CGJX40;03/06/2021 20:21:43;04/06/2021 00:21:43;18;-23,730987;-70,438172;35;1;0;0;0;0;0
CGJX40-03/06/2021 20:22:03-0;96711420;77130027;202106;377;104N;1;868683027982887;CGJX40;03/06/2021 20:22:03;04/06/2021 00:22:03;18;-23,728667;-70,437355;50;1;0;0;0;0;0
CGJX40-03/06/2021 20:22:23-0;96711420;77130027;202106;377;104N;1;868683027982887;CGJX40;03/06/2021 20:22:23;04/06/2021 00:22:23;9;-23,725435;-70,436428;80;1;0;0;0;0;0
CGJX40-03/06/2021 20:22:43-0;96711420;77130027;202106;377;104N;1;868683027982887;CGJX40;03/06/2021 20:22:43;04/06/2021 00:22:43;22;-23,721282;-70,43529;88;1;0;0;0;0;0
CGJX40-03/06/2021 20:23:03-0;96711420;77130027;202106;377;104N;1;868683027982887;CGJX40;03/06/2021 20:23:03;04/06/2021 00:23:03;9;-23,717048;-70,433955;85;1;0;0;0;0;0
CGJX40-03/06/2021 20:23:23-0;96711420;77130027;202106;377;104N;1;868683027982887;CGJX40;03/06/2021 20:23:23;04/06/2021 00:23:23;15;-23,71347;-70,433125;48;1;0;0;0;0;0
CGJX40-03/06/2021 20:23:43-0;96711420;77130027;202106;377;104N;1;868683027982887;CGJX40;03/06/2021 20:23:43;04/06/2021 00:23:43;27;-23,710595;-70,431753;76;1;0;0;0;0;0
CGJX40-03/06/2021 20:24:04-0;96711420;77130027;202106;377;104N;1;868683027982887;CGJX40;03/06/2021 20:24:04;04/06/2021 00:24:04;70;-23,708565;-70,428817;33;1;0;0;0;0;0
